REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
2919,45,29065345,1027739224941,2919,044599245,1/1/2016,"?? ??? ""????????????""","115432, ?. ??????, ??. ?????????, ?. 2/1",1,31
2928,40,35493855,1027800011524,2928,044030892,1/1/2016,"?? ??? ""?????????? ???""","197046, ?????-?????????, ??. ????? ?????????, 16, ????? ?, ???.6?",1,31
2929,45,35385723,1027700074775,2929,044583769,1/1/2016,??? ???? (??),"121099, ?. ??????, 1-? ??????????????? ????????, ?. 6, ???. 1",1,27
2932,45,29065339,1027700128796,2932,044525852,1/1/2016,"?? ""???"" ???","123100,  ?. ??????,  ????????????????? ??????????, ?.2/1, ???.1",1,23
2937,45,29351358,1027739080852,2937,044583870,1/1/2016,"???? ""???"" (??)","105005,  ?. ??????, ??. ??????????, ?. 43/1, ???. 1",1,23
2938,45,29351542,1027744001878,2938,044525128,1/1/2016,"""?????? ????"" (??)","109240,  ?. ??????, ???????????? ??????????, ?. 7, ???. 2",1,23
2942,45,33774455,1020800758274,2942,044525179,1/1/2016,"??? ?? ""???""","105064, ?. ??????,????? ???????? ???, ?. 34?, ???????? 1",1,27
2944,46,18166936,1025000003830,2944,044583259,1/1/2016,"??? ""??????"", ???","141700, ?????????? ???., ?. ????????????, ??. ????????????, ?. 21",1,31
2948,60,35579427,1026100001938,2948,046015938,1/1/2016,"?? ??? ""??????-????""","344022, ?. ??????-??-????, ??. ??????? ???????, 188?",1,31
2949,52,35867089,1025500001328,2949,045279785,1/1/2016,"?? ""??????? ????""","644046, ?.????, ??. ??????? ??????, ??? ? 107",1,31
2956,45,29351447,1027739253520,2956,044525237,1/1/2016,"??? ""????????????????""","107078,  ?. ??????, ??.???????-?????????????, ?.6",1,31
2960,45,29351476,1027739736254,2960,044525805,1/1/2016,"??? ?? ""?????????? ??????""","119415,  ?. ??????, ??-? ???????????, ?.87, ????.2",1,23
2961,18,35994787,1023400000535,2961,041814815,1/1/2016,"??? ?? ""???????????? ????""","403343, ????????????? ???????, ?. ??????????, ??.???????, 44 ""?""",1,23
2964,75,34545900,1027400001727,2964,047501906,1/1/2016,"??? ""????????????""","454090, ?.?????????, ??.???????, 97",1,31
2982,40,35485784,1027800000348,2982,044030814,1/1/2016,"?? ""???????""","191186, ?????-?????????, ??. ???????????, 15",1,31
2983,45,40019305,1027739019527,2983,044525183,1/1/2016,???????????? ???,"115054,  ?. ??????, 3-? ?????????????? ???., ?.11, ???.1",1,31
2990,25,35627534,1023800000278,2990,042520872,1/1/2016,"?? ""???????????????"" (???)","664025, ????????? ???????, ?. ???????, ??. ??????, 18",1,23
2995,71,36260426,1028600003442,2995,047102658,1/1/2016,"?? ""????????????"" (???)","625000, ?. ??????, ??. ??????????, ??? 65",1,27
2996,45,40092236,1037739758022,2996,044583699,1/1/2016,"??? ""??????????????""","127422,  ?. ??????, ??. ?????????????, ??? 1",1,23
2997,75,36689974,1024200006434,2997,047501787,1/1/2016,"?? ""???????????""","454138, ?.?????????, ??.????????????????, 17?",1,31
2998,45,29306234,1027739504760,2998,044525460,1/1/2016,"??? ""?????????""","107078, ?. ??????, ??. ????????????, ?. 29, ???. 2",1,23
3000,45,29303613,1027739258271,3000,044525686,1/1/2016,"?? ""???????"" ???","123557, ?. ??????, ??. ??????????? ???, ?. 14, ???. 3",1,23
3001,05,35697262,1022500000566,3001,040507795,1/1/2016,"??? ??? ""????????""","690990, ?????????? ????, ?.???????????, ??.???????????, 47",1,27
3002,45,29305039,1027739068158,3002,044583656,1/1/2016,"??? ?? ""????? ???????""","115114. ?. ??????, ???????????? ??????????, ?. 11",1,23
3006,36,33549575,1026300005170,3006,043601878,1/1/2016,"??? ""?? ????""","443001, ?.??????, ??. ???????????, ?. 84",1,27
3010,45,29306151,1027739137810,3010,044583483,1/1/2016,"??? ?? ""?????????????""","115184,  ?. ??????, ??. ?????????, ?. 57, ???. 1",1,30
3011,45,40097897,1027739338175,3011,044525756,1/1/2016,"??? ""??????-???????"" (???)","105120,  ?. ??????, ??.?????? ???????????????, ?.1/4",1,23
3013,45,29304075,1027739067861,3013,044525984,1/1/2016,"?? ???? ""????????-???????""","105064, ?. ??????, ?????? ????????? ????????, ?. 5, ???????? 15",1,31
3015,60,34114169,1026100008373,3015,046015933,1/1/2016,"??? ""???""","344006, ?. ??????-??-????, ??. ??????????, 144-?",1,31
3016,45,40093098,1027739436955,3016,044583990,1/1/2016,"?? ""?????? ????""","125040,  ?. ??????, 3-? ??. ??????? ????, ?. 19, ???. 1",1,31
3017,45,40092851,1027739082931,3017,044525860,1/1/2016,"""??????????????? ????????? ??????"" ???","109004,  ?. ??????, ??.????????????, ?.13/14, ???.1",1,23
3027,45,40061721,1077711000091,3027,044525677,1/1/2016,"?? ""????????"" ??","123557,  ?. ??????, ??. ?????????? ???, ?.10, ???. 4",1,23
3028,45,40023710,1037700080164,3028,044525223,1/1/2016,"??? ?? ""????????????? ????????? ????""","129366, ?. ??????, ??. ???????????, ?. 8",1,31
3037,95,31901079,1021900002695,3037,049514720,1/1/2016,??? ????,"655017, ?????????? ???????, ?.??????, ??.?????????, 69",1,27
3038,40,39435553,1027800005199,3038,044030701,1/1/2016,"??? ""???? ???""","197101, ?????-?????????, ????????????? ???., ??? 36, ???. ?",1,31
3047,45,29304086,1027739203953,3047,044599957,1/1/2016,"?? ""???????????"" (??)","115583,  ?. ??????, ??.???????? ??????, ?.26",1,23
3048,45,29303788,1027700156560,3048,044583804,1/1/2016,"??? ""?????????????"" ???","127434, ?. ??????, ??????????? ?????, ?. 3, ????. 1",1,23
3052,45,29351625,1027739538694,3052,044525669,1/1/2016,"?? ""???????? ????""","127051, ?. ??????, ????? ??????????? ???????, ??? 12",1,31
3053,45,40152398,1087711000057,3053,044525680,1/1/2016,"?? ""????? ?????? ????""","129090,  ?. ??????, ???????? ????, ??? 16, ???????? 2",1,23
3058,92,33863839,1021600000036,3058,049205815,1/1/2016,"??? ""???????????""","420111, ?.??????, ??.?????????????, ?. 43/2",1,31
3061,45,34579715,1027739121651,3061,044525588,1/1/2016,???? ??? ?? ???? (??),"115035, ?. ??????, ??????????? ??????????, ??? 26",1,31
3065,45,40154919,1037700098215,3065,044525250,1/1/2016,"??? ""???"" (???)","115477, ?. ??????, ??. ??????????????, ?. 59 ?",1,31
3068,45,40099936,1037739226128,3068,044525292,1/1/2016,"?? ""???-??????"" (???)","121165,  ?. ??????, ??????????? ????????, ?.35/30",1,31
3073,45,29306211,1027739004809,3073,044525174,1/1/2016,"??? ""??? ????""","107078,  ?. ??????, ??. ?????????, ?.43, ???.2",1,31
3077,45,29306553,1027739043750,3077,044525413,1/1/2016,"""?????????????????"" (??)","119121,  ?. ??????, 2-? ?????????????? ????????, ?. 10",1,31
3085,63,33240417,1026400001836,3085,046311808,1/1/2016,"?? ??? ""????????-?????""","410002, ?.???????, ??.????????, 166/168",1,31
3089,45,33544005,1026300003168,3089,044525660,1/1/2016,"??? ""????"" (???)","109004, ?. ??????, ??. ????????????, ??? 40, ???. 1",1,31
3095,45,29307469,1027744003231,3095,044525453,1/1/2016,"?? ""?????-????"" ???","121059,  ?. ??????, ???????????? ??????????, ?.20?",1,23
3098,45,40100094,1027700159233,3098,044525253,1/1/2016,"?? ?? ""??????""","105066, ?. ??????, ?????????? ??????, ?. 3, ???. 2",1,31
3099,45,17866421,1037744005771,3099,044525257,1/1/2016,"?? ""???-????""","125009,  ?. ??????, ???????????? ???., ?.1, ???.1",1,23
3104,45,40103626,1037739057410,3104,044525239,1/1/2016,"??? ?? ""????????????""","125080, ?. ??????, ????????????? ?????, ??? 2",1,23
3116,45,29316994,1027739469746,3116,044583440,1/1/2016,"??? ?? ""???-??????""","109240,  ?. ??????, ??. ??????? ???????????, ?.18, ???.2",1,23
3117,45,29351677,1097711000100,3117,044583373,1/1/2016,"??? ""??????"" (??)","127006,  ?. ??????, ??. ??????????????????, ?.7",1,31
3122,45,40102868,1027739495794,3122,044583919,1/1/2016,"??? ""??????-?????"" (??)","105066,  ?. ??????, ??. ?????????????, ?. 4, ???. 1",1,23
3123,45,29351758,1077711000036,3123,044583328,1/1/2016,"?? ""???"" ???","119034,  ?. ??????, ??. ???????????, ?.36, ???.1",1,23
3124,45,29308428,1027739198200,3124,044525158,1/1/2016,"?? ""?? ????""","109004, ?. ??????, ??. ???????????????, ?. 20, ???. 2",1,31
3136,60,34111455,1026100002565,3136,046013946,1/1/2016,"??? ""????????????""","347900, ?????????? ???????, ?.????????, ??. ?????????, 71",1,23
3137,45,40198845,1027739326757,3137,044525836,1/1/2016,"??? ""???????????"" (??)","119991, ?. ??????, ??. ????????, ?. 24",1,31
3138,45,29318786,1027739098639,3138,044525464,1/1/2016,"?? ""???? ?????????""","123001,  ?. ??????, ??. ????????????,  ?. 27/24",1,27
3139,45,29318579,1027739515781,3139,044525456,1/1/2016,"??? ""????? ????????? ????"" (??)","107140,  ?. ??????, ??. ???????????, ?. 4",1,23
3161,65,36425689,1026600000074,3161,046577904,1/1/2016,"??? ""???? ""????????????""","620014, ?. ????????????, ??. 8 ?????, 13",1,27
