ЗАО НКО МРЦ;3325
"ООО МКБ ""Аверс""";415
"АКБ ""ЕВРОМЕТ"" (ОАО)";2902
Ставропольпромстройбанк - ОАО;1288
"ЗАО ""СНГБ""";588
"ООО КБ ""Лайтбанк""";3177
"АБ ""Девон-Кредит"" (ОАО)";1972
"АКБ ""ИнтрастБанк"" (ОАО)";3144
"АО НКО ""Расчетный Финансовый Дом""";3430
"АККСБ ""КС БАНК"" (ОАО)";1752
"ПАО ""МИнБанк""";912
"""Единый Строительный Банк"" (ООО)";3506
"ООО ""Банк Империя""";2535
"ПАО АКБ ""1Банк""";2896
АО ЮниКредит Банк;1
"АО ""Эксперт Банк""";2949
"АО ""Меткомбанк""";901
"ПАО ""Донкомбанк""";492
"КБ ""ЕВРОСТАНДАРТ"" (ООО)";3200
"АКБ ""СЕРВИС-РЕЗЕРВ"" БАНК (ЗАО)";2034
"ООО ИКБ ""ЛОГОС""";3233
"КБ ""БМБ"" (ООО)";2992
"""Дил-банк"" (ООО)";3384
"БАНК ""МСКБ"" (ПАО)";2722
АйСиБиСи Банк (АО);3475
"ООО ""УИК-БАНК""";1300
"КБ ""Банк Развития Технологий"" (ЗАО)";3441
"ЗАО АКБ ""ГАЗБАНК""";2316
"КБ ""БТФ"" ООО";1982
"АБ ""Алданзолотобанк"" АО";854
"АО Банк ""Национальный стандарт""";3421
"ЗАО ""БАНК БЕРЕЙТ""";3505
"ЗАО ""МОССТРОЙЭКОНОМБАНК""";948
"ООО ""ПроКоммерцБанк""";2996
"ОАО АКБ ""Проинвестбанк""";784
"ОАО ГБ ""Симбирск""";653
"""АйСиАйСиАй Банк Евразия"" (ООО)";3329
"АО БАНК ""РСКБ""";2050
"ОАО ""БАЛТИНВЕСТБАНК""";3176
"ЗАО АКБ ""ЦентроКредит""";121
"КБ ""Траст Капитал Банк"" ЗАО";2741
"ОАО КБ ""Восточный""";1460
"АО КБ ""ИНТЕРПРОМБАНК""";3266
"ОАО АК ""БайкалБанк""";2632
"""СеверСтройБанк"" АО";3507
"Банк ""Йошкар-Ола"" (ОАО)";2802
"РНКО ""РБЦ"" (ООО)";3487
"ОАО ""Региональный банк развития""";2782
"ООО ""Унифондбанк""";3416
"АБ ""АСПЕКТ"" (АО)";608
"ООО КБ ""Алтайкапиталбанк""";2659
"АКБ ""Заречье"" (ОАО)";817
"АО КБ ""ИВАНОВО""";1763
"ОАО ""Северинвестбанк""";2264
"ОАО АБ ""Народный банк РТ""";1309
"АКБ ""РОССИЙСКИЙ КАПИТАЛ"" (ПАО)";2312
"ЗАО КБ ""УРАЛЛИГА""";1626
"""БНП ПАРИБА БАНК"" АО";3407
